model_name,threshold_probability,net_benefit,treat_all_net_benefit,treat_none_net_benefit
OCTOnly_ViT,0.125,0.07410196550945103,0.09451012877475715,0.0
OCTOnly_ViT,0.15000000000000002,0.05987782566901298,0.06787807373872054,0.0
OCTOnly_ViT,0.175,0.0429066628328621,0.039631954761106036,0.0
OCTOnly_ViT,0.2,0.02662098049551924,0.009620453347390617,0.0
OCTOnly_ViT,0.22500000000000003,0.01146122060298943,-0.02232727396398393,0.0
OCTOnly_ViT,0.25,-0.0042171850289931395,-0.05640484976278334,0.0
OCTOnly_ViT,0.275,-0.020322469234544574,-0.09283260320287937,0.0
OCTOnly_ViT,0.3,-0.03976203027336396,-0.13186233903155362,0.0
OCTOnly_ViT,0.325,-0.056424373767547165,-0.17378316640309258,0.0
OCTOnly_ViT,0.35000000000000003,-0.0759904302339727,-0.21892867280321163,0.0
OCTOnly_ViT,0.375,-0.0959409594095941,-0.26768581971534,0.0
OCTOnly_ViT,0.4,-0.11720260059743459,-0.3205060622034793,0.0
OCTOnly_ViT,0.425,-0.14276546492172998,-0.3779193692558045,0.0
OCTOnly_ViT,0.45,-0.16614750563090047,-0.4405520678583409,0.0
OCTOnly_ViT,0.47500000000000003,-0.1896227125536562,-0.509149785375405,0.0
OCTOnly_ViT,0.5,-0.19504480759093307,-0.5846072746441751,0.0
OCTOnly_ViT,0.525,-0.22187387287406712,-0.6680076575201843,0.0
OCTOnly_ViT,0.55,-0.2499853569964272,-0.7606747496046392,0.0
OCTOnly_ViT,0.5750000000000001,-0.2833266147787529,-0.8642438525225591,0.0
OCTOnly_ViT,0.6000000000000001,-0.3207696362677914,-0.9807590933052193,0.0
OCTOnly_ViT,0.6250000000000001,-0.3614479001932879,-1.1128096995255674,0.0
OCTOnly_ViT,0.6500000000000001,-0.4049250696588602,-1.2637246780631082,0.0
OCTOnly_ViT,0.675,-0.45792952435018874,-1.4378573456064236,0.0
OCTOnly_ViT,0.7000000000000001,-0.5180108943946584,-1.6410121244069589,0.0
OCTOnly_ViT,0.7250000000000001,-0.5785211098864238,-1.881104135716683,0.0
OCTOnly_ViT,0.7500000000000001,-0.6441750131787036,-2.1692145492883514,0.0
OCTOnly_ViT,0.7750000000000001,-0.7340244831019744,-2.52134949920928,0.0
OCTOnly_ViT,0.8,-0.8228782287822881,-2.9615181866104385,0.0
