variant,source_variant,center,n,auroc,auprc,accuracy,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,referral_rate,tp,fp,tn,fn
shared_lora_no_ot,no_ot,十堰市人民医院,496,0.7223748473748475,0.1347806035549251,0.6290322580645161,0.7142857142857143,0.6239316239316239,0.10204081632653061,0.9733333333333334,0.17857142857142858,0.6691086691086692,0.3951612903225806,20,176,292,8
shared_lora_no_ot,no_ot,恩施州中心医院,406,0.6794871794871795,0.5470273873581799,0.7266009852216748,0.3,0.927536231884058,0.6610169491525424,0.7377521613832853,0.4126984126984127,0.613768115942029,0.14532019704433496,39,20,256,91
shared_lora_no_ot,no_ot,武大人民医院,89,,,0.7303370786516854,0.7303370786516854,,1.0,0.0,0.8441558441558441,,0.7303370786516854,65,0,0,24
shared_lora_no_ot,no_ot,荆州市第一人民医院,406,0.5302131399692376,0.09257394006824393,0.41625615763546797,0.8108108108108109,0.37669376693766937,0.11538461538461539,0.952054794520548,0.20202020202020202,0.5937522888742401,0.6403940886699507,30,230,139,7
shared_lora_no_ot,no_ot,襄阳市中心医院,500,0.4708158508158508,0.2458827797791585,0.462,0.4909090909090909,0.45384615384615384,0.20224719101123595,0.759656652360515,0.2864721485411141,0.4723776223776224,0.534,54,213,177,56
shared_lora_no_posterior,no_posterior,十堰市人民医院,496,0.7606837606837608,0.2775970005867338,0.6229838709677419,0.7857142857142857,0.6132478632478633,0.10837438423645321,0.9795221843003413,0.19047619047619047,0.6994810744810744,0.4092741935483871,22,181,287,6
shared_lora_no_posterior,no_posterior,恩施州中心医院,406,0.7025083612040134,0.5670546932614074,0.7167487684729064,0.35384615384615387,0.8876811594202898,0.5974025974025974,0.7446808510638298,0.4444444444444444,0.6207636566332219,0.1896551724137931,46,31,245,84
shared_lora_no_posterior,no_posterior,武大人民医院,89,,,0.42696629213483145,0.42696629213483145,,1.0,0.0,0.5984251968503937,,0.42696629213483145,38,0,0,51
shared_lora_no_posterior,no_posterior,荆州市第一人民医院,406,0.6943528894748408,0.21354287328529642,0.7389162561576355,0.3783783783783784,0.7750677506775068,0.14432989690721648,0.9255663430420712,0.208955223880597,0.5767230645279426,0.23891625615763548,14,83,286,23
shared_lora_no_posterior,no_posterior,襄阳市中心医院,500,0.48923076923076925,0.27514030758023295,0.32,0.6454545454545455,0.2282051282051282,0.19086021505376344,0.6953125,0.2946058091286307,0.43682983682983684,0.744,71,301,89,39
same_backbone_coe_without_reliability,no_variational,十堰市人民医院,496,0.7868589743589743,0.2447463158396802,0.8064516129032258,0.7142857142857143,0.811965811965812,0.18518518518518517,0.979381443298969,0.29411764705882354,0.7631257631257631,0.21774193548387097,20,88,380,8
same_backbone_coe_without_reliability,no_variational,恩施州中心医院,406,0.6944816053511706,0.5703000271742469,0.6822660098522167,0.47692307692307695,0.7789855072463768,0.5040650406504065,0.7597173144876325,0.4901185770750988,0.6279542920847269,0.30295566502463056,62,61,215,68
same_backbone_coe_without_reliability,no_variational,武大人民医院,89,,,0.7078651685393258,0.7078651685393258,,1.0,0.0,0.8289473684210527,,0.7078651685393258,63,0,0,26
same_backbone_coe_without_reliability,no_variational,荆州市第一人民医院,406,0.7035816304108987,0.3137898684122119,0.458128078817734,0.8108108108108109,0.42276422764227645,0.12345679012345678,0.9570552147239264,0.21428571428571427,0.6167875192265436,0.5985221674876847,30,213,156,7
same_backbone_coe_without_reliability,no_variational,襄阳市中心医院,500,0.4858974358974359,0.29454422955678333,0.634,0.41818181818181815,0.6948717948717948,0.2787878787878788,0.808955223880597,0.33454545454545453,0.5565268065268065,0.33,46,119,271,64
